辽宁联通组播,#genre#
安徽卫视,http://171.119.204.54:6001/rtp/226.0.2.37:8208
江苏卫视,http://171.119.204.54:6001/rtp/226.0.2.38:8216
北京卫视,http://171.119.204.54:6001/rtp/226.0.2.39:8224
东南卫视,http://171.119.204.54:6001/rtp/226.0.2.40:8232
金鹰卡通,http://171.119.204.54:6001/rtp/226.0.2.41:8240
四川卫视,http://171.119.204.54:6001/rtp/226.0.2.42:8248
贵州卫视,http://171.119.204.54:6001/rtp/226.0.2.43:8256
哈哈炫动,http://171.119.204.54:6001/rtp/226.0.2.44:8264
广东卫视,http://171.119.204.54:6001/rtp/226.0.2.45:8272
广西卫视,http://171.119.204.54:6001/rtp/226.0.2.46:8280
深圳卫视,http://171.119.204.54:6001/rtp/226.0.2.47:8288
黑龙江卫视,http://171.119.204.54:6001/rtp/226.0.2.48:8296
湖北卫视,http://171.119.204.54:6001/rtp/226.0.2.49:8304
重庆卫视,http://171.119.204.54:6001/rtp/226.0.2.50:8312
山东卫视,http://171.119.204.54:6001/rtp/226.0.2.51:8320
河南卫视HD,http://171.119.204.54:6001/rtp/226.0.2.52:8328
陕西卫视,http://171.119.204.54:6001/rtp/226.0.2.53:8336
江西卫视HD,http://171.119.204.54:6001/rtp/226.0.2.54:8344
甘肃卫视,http://171.119.204.54:6001/rtp/226.0.2.55:8352
天津卫视,http://171.119.204.54:6001/rtp/226.0.2.56:8360
卡酷卡通,http://171.119.204.54:6001/rtp/226.0.2.57:8368
吉林卫视HD,http://171.119.204.54:6001/rtp/226.0.2.58:8376
青海卫视,http://171.119.204.54:6001/rtp/226.0.2.59:8384
云南卫视,http://171.119.204.54:6001/rtp/226.0.2.60:8392
海南卫视,http://171.119.204.54:6001/rtp/226.0.2.61:8400
兵团卫视,http://171.119.204.54:6001/rtp/226.0.2.62:8408
内蒙古卫视,http://171.119.204.54:6001/rtp/226.0.2.63:8416
宁夏卫视,http://171.119.204.54:6001/rtp/226.0.2.64:8424
河北卫视,http://171.119.204.54:6001/rtp/226.0.2.65:8432
